Course,City,ZIP,Yardage_Back_Tees,Slope_Back_Tees,Location (Inferred Region),Photo,
Crown Park Golf Club,Longs,29568,6200,118,Longs (Myrtle Beach Area),nophoto.png,
Crystal Lakes Golf Course,Sumter,29150,6400,121,Sumter (Columbia - Lake Murray Country),nophoto.png,
Cypress Bay Golf Club,Little River,29566,6200,119,Little River (Myrtle Beach Area),nophoto.png,
Cypress Point,McCormick,29835,6900,134,McCormick (Lakelands Region),nophoto.png,
Daniel Island Club,Charleston,29492,7300,147,Daniel Island (Charleston Area),nophoto.png,
Darlington Country Club,Darlington,29532,6500,123,Darlington (Pee Dee),nophoto.png,
Dataw Island Club - Cotton Dike,Saint Helena Island,29920,6500,126,Dataw Island (Hilton Head Area),nophoto.png,
Dataw Island Club - Morgan River,Saint Helena Island,29920,6700,128,Dataw Island (Hilton Head Area),nophoto.png,
DeBordieu Club,Georgetown,29440,7100,140,Georgetown (Hammock Coast),nophoto.png,
Deer Track Golf Resort - South,Conway,29526,6300,120,Myrtle Beach Area,nophoto.png,
Deer Track Golf Resort - Toski Links,Conway,29526,6400,121,Myrtle Beach Area,nophoto.png,
Diamond Back Golf Course,Loris,29569,6600,124,Loris (Myrtle Beach Area),nophoto.png,
Dogwood Hills Country Club,Walterboro,29488,6200,118,Walterboro (Hilton Head Area),nophoto.png,
Dolphin Head Golf Course,Hilton Head Island,29926,6400,122,Hilton Head Island,nophoto.png,
Dunes Golf and Beach Club,Myrtle Beach,29572,7195,144,Myrtle Beach,nophoto.png,
Dunes West Golf & River Club,Mount Pleasant,29466,7200,142,Mount Pleasant (Charleston Area),nophoto.png,
Eagle Landing Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Eagle Nest Golf Club,Little River,29566,6600,123,Little River (Myrtle Beach Area),nophoto.png,
Eastport Golf Club,Little River,29566,6500,122,Little River (Myrtle Beach Area),nophoto.png,
Edgewater Golf Club,Lancaster,29720,6800,129,Lancaster (Olde English District),nophoto.png,
Fairdale Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Fairfield Country Club,Winnsboro,29180,6400,121,Winnsboro (Olde English District),nophoto.png,
Falcons Lair Golf Course,Walhalla,29691,6700,126,Walhalla (Upcountry),nophoto.png,
Florence Country Club,Florence,29506,6900,131,Florence (Pee Dee),nophoto.png,
Forest Lake Club,Columbia,29206,6700,128,Columbia (Columbia - Lake Murray Country),nophoto.png,
Fort Jackson Golf Club,Columbia,29207,6600,125,Columbia (Columbia - Lake Murray Country),nophoto.png,
Fort Mill Country Club,Fort Mill,29715,6500,123,Fort Mill (Olde English District),nophoto.png,
Fox Creek Golf Course,Lydia,29079,6400,120,Lydia (Pee Dee),nophoto.png,
Fox Run Country Club,Simpsonville,29681,6800,127,Simpsonville (Upcountry),nophoto.png,
Foxboro Golf Club,Summerton,29148,5900,115,Summerton (Santee),nophoto.png,
Foxwood Hills Golf Course,Westminster,29693,6900,133,Westminster (Upcountry),nophoto.png,
Fripp Island Resort - Ocean Creek,Fripp Island,29920,6700,129,Fripp Island (Hilton Head Area),nophoto.png,
Fripp Island Resort - Ocean Point,Fripp Island,29920,6500,127,Fripp Island (Hilton Head Area),nophoto.png,
Furman University Golf Club,Greenville,29617,6800,130,Greenville (Upcountry),nophoto.png,
Gaffney Country Club,Gaffney,29341,6300,119,Gaffney (Upstate SC),nophoto.png,
Glen Dornoch Golf Links,Little River,29566,6700,126,Little River (Myrtle Beach Area),nophoto.png,
Golden Bear Golf Club,Hilton Head Island,29928,6600,124,Hilton Head Island,nophoto.png,
Golden Hills Golf and Country Club,Lexington,29073,6400,121,Lexington (Columbia - Lake Murray Country),nophoto.png,
Golf Club at Briars Creek,Johns Island,29455,7200,143,Johns Island (Charleston Area),nophoto.png,
Golf Club at Indigo Run,Hilton Head Island,29926,6800,131,Hilton Head Island,nophoto.png,
Governors Run Golf Club,Barnwell,29812,6300,120,Barnwell (Thoroughbred Country),nophoto.png,
Grande Dunes,Myrtle Beach,29577,7500,148,Myrtle Beach,nophoto.png,
Green Hills Golf Course,Columbia,29210,6500,122,Not Specified,nophoto.png,
Green River Country Club,Chesterfield,29709,6100,117,Chesterfield (Pee Dee),nophoto.png,
Green Valley Country Club,Greenville,29615,6700,128,Greenville (Upcountry),nophoto.png,
Greenville Country Club,Greenville,29615,6800,130,Greenville (Upcountry),nophoto.png,
Greenwood Country Club,Greenwood,29649,6600,125,Greenwood (Lakelands Region),nophoto.png,
Greer Golf and Country Club,Greer,29650,6400,121,Greer (Upcountry),nophoto.png,
Haig Point Club,Daufuskie Island,29915,7200,145,Daufuskie Island (Hilton Head Area),nophoto.png,
Hampton Hall Golf Club,Bluffton,29910,7000,137,Bluffton (Hilton Head Area),nophoto.png,
Hartsville Country Club,Hartsville,29550,6700,126,Hartsville (Pee Dee),nophoto.png,
Heather Glen Golf Links,Little River,29566,6800,129,Little River (Myrtle Beach Area),nophoto.png,
Hejaz Shrine Recreation Club,Mauldin,29662,6300,119,Mauldin (Upcountry),nophoto.png,
Hickory Knob Golf Course,McCormick,29835,6600,124,McCormick (Lakelands Region),nophoto.png,
Hickory Ridge Golf Club,Columbia,29229,6400,121,Not Specified,nophoto.png,
Hidden Cypress Golf Club at Sun City,Bluffton,29909,6500,123,Bluffton (Hilton Head Area),nophoto.png,
Hidden Valley Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
High Meadows Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Hillcrest Golf Course,Columbia,29210,6500,122,Not Specified,nophoto.png,
Hilton Head National Golf Club,Bluffton,29909,7200,141,Bluffton (Hilton Head Area),nophoto.png,
Holly Hill Country Club,Holly Hill,29059,6100,117,Holly Hill (Santee),nophoto.png,
Holly Tree Country Club,Simpsonville,29680,6800,127,Simpsonville (Upcountry),nophoto.png,
Houndslake Country Club,Aiken,29803,6700,128,Aiken (Thoroughbred Country),nophoto.png,
Hunters Creek Golf and Country Club,Columbia,29229,6600,124,Not Specified,nophoto.png,
Indian River Golf Club,West Columbia,29169,6400,121,West Columbia (Columbia - Lake Murray Country),nophoto.png,
Indian Trail Golf Course,Batesburg-Leesville,29006,6200,118,Batesburg (Columbia - Lake Murray Country),nophoto.png,
Indian Wells Golf Course,Murrells Inlet,29576,6500,123,Murrells Inlet (Myrtle Beach Area),nophoto.png,
Indigo Creek Golf Club,Murrells Inlet,29576,6300,120,Murrells Inlet (Myrtle Beach Area),nophoto.png,
International Club of Myrtle Beach,Murrells Inlet,29576,6800,126,Murrells Inlet (Myrtle Beach Area),nophoto.png,
International World Tour Golf Links,Myrtle Beach,29588,6600,124,Myrtle Beach,nophoto.png,
Island Green Country Club - Dogwood/Holly,North Myrtle Beach,29582,6400,121,Myrtle Beach Area,nophoto.png,
Island West Golf Club,Bluffton,29910,6700,128,Bluffton (Hilton Head Area),nophoto.png,
Jim & Lilie Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Keowee Key Golf & Country Club,Salem,29676,6800,129,Salem (Upcountry),nophoto.png,
Kershaw Country Club,Kershaw,29067,6300,119,Kershaw (Olde English District),nophoto.png,
Lake City Country Club,Lake City,29560,6700,126,Lake City (Pee Dee),nophoto.png,
Lake Marion Golf Course,Santee,29142,6800,128,Santee,nophoto.png,
Lakeside Country Club,Laurens,29360,6600,125,Laurens (Upcountry),nophoto.png,
Lakeview Golf Course,Piedmont,29673,6400,122,Piedmont (Upcountry),nophoto.png,
Lan-Yair Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Lancaster Golf Club,Lancaster,29720,6500,123,Lancaster (Olde English District),nophoto.png,
Legend Oaks Golf Club,Summerville,29485,7000,136,Summerville (Charleston Area),nophoto.png,
Legends Golf Resort,Myrtle Beach,29579,7200,140,Myrtle Beach,nophoto.png,
Links At Lakewood,Sumter,29150,6700,127,Sumter (Columbia - Lake Murray Country),nophoto.png,
Links at Stono Ferry,Hollywood,29449,6800,130,Hollywood (Charleston Area),nophoto.png,
Links O Tryon,Campobello,29322,6900,132,Campobello (Upstate SC),nophoto.png,
LinRick Golf Course,Columbia,29210,5900,115,Columbia (Columbia - Lake Murray Country),nophoto.png,
Litchfield Beach and Golf Resort,Pawleys Island,29585,6600,125,Pawleys Island (Hammock Coast),nophoto.png,
Litchfield Country Club,Pawleys Island,29585,6800,129,Pawleys Island (Hammock Coast),nophoto.png,
Long Bay Club,Longs,29568,7100,138,Longs (Myrtle Beach Area),nophoto.png,
Long Cove Club,Hilton Head Island,29928,6700,128,Hilton Head Island,nophoto.png,
Man O War Golf Course,Myrtle Beach,29577,6200,119,Myrtle Beach,nophoto.png,
Marlboro Country Club,Bennettsville,29512,6400,121,Bennettsville (Pee Dee),nophoto.png,
May River Golf Club at Palmetto Bluff,Bluffton,29910,7300,149,Bluffton (Hilton Head Area),nophoto.png,
McCormick Country Club,McCormick,29835,6500,123,McCormick (Lakelands Region),nophoto.png,
Mid Carolina Club,Prosperity,29127,6800,130,Prosperity (Lakelands Region),nophoto.png,
Midland Valley Country Club,Graniteville,29829,6700,127,Graniteville (Thoroughbred Country),nophoto.png,
Midway Par 3 - East/West,Myrtle Beach,29577,3000 (Par 3),110,Myrtle Beach Area,nophoto.png,
Miler Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Monticello Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Moree's Cheraw Country Club,Cheraw,29520,6300,120,Cheraw (Pee Dee),nophoto.png,
Moss Creek Golf Club,Hilton Head Island,29926,6600,124,Hilton Head Island,nophoto.png,
Mount Vintage Golf Club,North Augusta,29860,7000,135,North Augusta (Thoroughbred Country),nophoto.png,
Musgrove Mill Golf Club,Clinton,29325,6800,129,Clinton (Lakelands Region),nophoto.png,
Myrtle Beach National Golf Club - Kings North,Myrtle Beach,29577,7200,141,Myrtle Beach,nophoto.png,
Myrtle Beach National Golf Club - West,Myrtle Beach,29577,6600,125,Myrtle Beach,nophoto.png,
Myrtle Beach National South Creek,Myrtle Beach,29577,6700,127,Myrtle Beach,nophoto.png,
Myrtlewood Golf Club,Myrtle Beach,29577,6800,128,Myrtle Beach,nophoto.png,
New Ellenton Golf Course,New Ellenton,29809,6300,120,New Ellenton (Thoroughbred Country),nophoto.png,
North Augusta Country Club,North Augusta,29841,6500,123,North Augusta (Thoroughbred Country),nophoto.png,
Northern Pines Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Northside Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Oak Hills Golf Club,Columbia,29223,6400,121,Columbia (Columbia - Lake Murray Country),nophoto.png,
Oak Point Golf Course at Kiawah Island Golf Resort,Kiawah Island,29455,6700,132,Kiawah Island,nophoto.png,
Oak Ridge Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Oaks Plantation Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Oconee Country Club,Seneca,29672,6600,126,Seneca (Upcountry),nophoto.png,
Okatie Creek Golf Club,Bluffton,29909,7200,144,Bluffton (Hilton Head Area),nophoto.png,
Old Carolina Golf Club,Bluffton,29910,6800,130,Bluffton (Hilton Head Area),nophoto.png,
Old South Golf Links,Bluffton,29910,7100,139,Bluffton (Hilton Head Area),nophoto.png,
Old Tabby Links,Okatie,29909,6900,134,Spring Island (Hilton Head Area),nophoto.png,
Orangeburg Country Club,Orangeburg,29118,6700,128,Orangeburg (Thoroughbred Country),nophoto.png,
Osprey Point Golf Course at Kiawah Island Golf Resort,Kiawah Island,29455,7006,139,Kiawah Island,nophoto.png,
Oyster Reef Golf Course,Hilton Head Island,29928,6800,131,Hilton Head Island,nophoto.png,
Palmetto Dunes Golf Course - George Fazio Course,Hilton Head Island,29928,7000,136,Hilton Head Island,nophoto.png,
Palmetto Dunes Golf Course - RTJ Oceanfront Course,Hilton Head Island,29928,6973,146,Hilton Head Island,nophoto.png,
Palmetto Dunes Oceanfront Resort - Arthur Hills Course,Hilton Head Island,29928,6900,134,Hilton Head Island,nophoto.png,
Palmetto Golf Club,Aiken,29801,6800,129,Aiken (Thoroughbred Country),nophoto.png,
Palmetto Hall Golf and Country Club,Hilton Head Island,29926,6700,127,Hilton Head Island,nophoto.png,
Parkland Golf Course,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Patriot Golf Club at Grand Harbor,Ninety Six,29666,7000,135,Ninety Six (Lakelands Region),nophoto.png,
Patriots Point Golf Links,Mount Pleasant,29464,6700,128,Mount Pleasant (Charleston Area),nophoto.png,
Paw Paw Country Club,Bamberg,29003,6100,117,Bamberg (Thoroughbred Country),nophoto.png,
Pawleys Plantation Golf & Country Club,Pawleys Island,29585,6900,133,Pawleys Island (Hammock Coast),nophoto.png,
Peach Valley Golf Course,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Pebble Creek Country Club,Taylors,29687,6600,125,Taylors (Upcountry),nophoto.png,
Penny Branch Club,Furman,29921,6200,118,Furman (Pee Dee),nophoto.png,
Persimmon Hill Golf Club,Saluda,29138,6400,122,Saluda (Lakelands Region),nophoto.png,
Pickens Country Club,Pickens,29671,6300,120,Pickens (Upcountry),nophoto.png,
Pine Lake Golf Club,Anderson,29626,6700,126,Anderson (Upcountry),nophoto.png,
Pine Lakes Country Club,Myrtle Beach,29577,6700,127,Myrtle Beach,nophoto.png,
Pine Ridge Country Club,Edgefield,29824,6500,123,Edgefield (Thoroughbred Country),nophoto.png,
Pinecrest Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Pineland Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Pinetuck Golf Course,Rock Hill,29730,6400,121,Rock Hill (Olde English District),nophoto.png,
Pinewood Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Players Course at Wyboo,Manning,29102,6600,124,Manning (Santee),nophoto.png,
Pocalla Springs Country Club,Sumter,29153,6500,122,Sumter (Columbia - Lake Murray Country),nophoto.png,
Ponderosa Country Club,Batesburg-Leesville,29006,6300,119,Batesburg (Columbia - Lake Murray Country),nophoto.png,
Port Royal Golf Club - Barony Course,Hilton Head Island,29928,6600,126,Hilton Head Island,nophoto.png,
Port Royal Golf Club - Robbers Row,Hilton Head Island,29928,6500,124,Hilton Head Island,nophoto.png,
Possum Trot Golf Course,North Myrtle Beach,29582,6200,118,North Myrtle Beach,nophoto.png,
Prestwick Country Club,Myrtle Beach,29577,6950,145,Myrtle Beach,nophoto.png,
Prestwick Golf Course,Myrtle Beach,29577,6950,145,Myrtle Beach,nophoto.png,
Quail Creek Golf Course,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Raccoon Run Golf Club,Myrtle Beach,29588,6400,121,Myrtle Beach,nophoto.png,
Red Bank Plantation,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Regent Park Golf Club,Fort Mill,29708,6700,127,Fort Mill (Olde English District),nophoto.png,
Republic Golf Course & Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
River Club on the Ashley,Charleston,29414,6800,130,Not Specified,nophoto.png,
River Falls Plantation,Duncan,29334,7000,136,Duncan (Upstate SC),nophoto.png,
River Golf Club,North Augusta,29841,6500,123,North Augusta (Thoroughbred Country),nophoto.png,
River Hills Golf & Country Club,Little River,29566,6600,124,Little River (Myrtle Beach Area),nophoto.png,
River Hills Plantation Country Club,Lake Wylie,29710,6800,129,Lake Wylie (Olde English District),nophoto.png,
River Oaks Golf Plantation,Myrtle Beach,29579,7000,137,Myrtle Beach,nophoto.png,
River Side Golf Center,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Riverchase Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
RiverTowne Country Club,Mount Pleasant,29466,6900,132,Mount Pleasant (Charleston Area),nophoto.png,
Robbers Roost Golf Club,North Myrtle Beach,29582,6800,129,North Myrtle Beach,nophoto.png,
Rock Hill Country Club,Rock Hill,29732,6600,125,Rock Hill (Olde English District),nophoto.png,
Rolling Green Golf Club,Easley,29642,6400,121,Easley (Upcountry),nophoto.png,
Rolling Hills Golf Course,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Rolling S Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Rose Hill Golf Club,Bluffton,29910,6800,130,Bluffton (Hilton Head Area),nophoto.png,
Royal Oaks Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Saluda Valley Country Club,Williamston,29697,6300,119,Williamston (Upcountry),nophoto.png,
Sanctuary Golf Club at Cat Island,Beaufort,29907,6800,131,Beaufort (Hilton Head Area),nophoto.png,
Sandy Point Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Santee Cooper Country Club,Santee,29142,6700,126,Santee,nophoto.png,
Santee National Golf Club,Santee,29142,7200,140,Santee,nophoto.png,
Savannah Lakes Village & Golf Clubs - Tara Golf Course,McCormick,29835,6900,133,McCormick (Lakelands Region),nophoto.png,
Sea Pines Country Club,Hilton Head Island,29928,6700,128,Hilton Head Island,nophoto.png,
Sea Pines Resort - Atlantic Dunes,Hilton Head Island,29928,7100,139,Hilton Head Island,nophoto.png,
Sea Pines Resort - Harbour Town Golf Links,Hilton Head Island,29928,6973,146,Hilton Head Island,nophoto.png,
Sea Pines Resort - Heron Point by Pete Dye,Hilton Head Island,29928,6900,134,Hilton Head Island,nophoto.png,
Seabrook Island Club,Seabrook Island,29455,7000,137,Seabrook Island (Charleston Area),nophoto.png,
Secession Golf Club,Beaufort,29907,7400,150,Beaufort (Hilton Head Area),nophoto.png,
Sedgewood Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Sergeant Jasper Country Club,Ridgeland,29936,6400,122,Ridgeland (Hilton Head Area),nophoto.png,
Shadowmoss Plantation Golf Club,Charleston,29414,6800,130,Charleston,nophoto.png,
Shaftesbury Glen Golf & Fish Club,Conway,29526,6700,127,Conway (Myrtle Beach Area),nophoto.png,
Shannon Greens Golf Club,Manning,29102,6500,123,Manning (Santee),nophoto.png,
Shipyard Golf Club,Hilton Head Island,29928,6900,133,Hilton Head Island,nophoto.png,
Snee Farm Country Club,Mount Pleasant,29466,7000,136,Mount Pleasant (Charleston Area),nophoto.png,
South Edisto Golf Course,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Southern Oaks Golf Course,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Spanish Wells Club,Hilton Head Island,29926,6600,125,Hilton Head Island,nophoto.png,
Spring Lake Country Club,York,29745,6500,123,York (Olde English District),nophoto.png,
Spring Valley Country Club,Columbia,29229,6900,132,Columbia (Columbia - Lake Murray Country),nophoto.png,
Springfield Golf Club,Fort Mill,29715,6400,121,Fort Mill (Olde English District),nophoto.png,
St. George Country Club,St. George,29477,6200,118,St. George (Thoroughbred Country),nophoto.png,
Starrwood Golf Course,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Stone Creek Cove Golf Course,Anderson,29624,6700,126,Anderson (Upcountry),nophoto.png,
Sugarfoot Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Sumter National Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Sunset Country Club,Sumter,29150,6600,124,Sumter (Columbia - Lake Murray Country),nophoto.png,
Surf Golf & Beach Club,North Myrtle Beach,29582,6800,129,North Myrtle Beach,nophoto.png,
Swamp Fox Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Sweetwater Country Club,Barnwell,29812,6300,120,Barnwell (Thoroughbred Country),nophoto.png,
Tega Cay Golf Club,Fort Mill,29708,7000,135,Tega Cay (Olde English District),nophoto.png,
The Aiken Golf Club,Aiken,29803,6700,128,Aiken (Thoroughbred Country),nophoto.png,
The Cliffs at Keowee Vineyards,Sunset,29685,7200,144,Sunset (Upcountry),nophoto.png,
The Club at Pine Forest,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
The Club at Rawles Creek,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
The Country Club of Spartanburg,Spartanburg,29302,6800,130,Spartanburg (Upstate SC),nophoto.png,
The Creek Golf Club,Spartanburg,29301,6700,128,Spartanburg (Upstate SC),nophoto.png,
The Crossings Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
